FIPS,INCOME_SUM,Winner_n,Winner,Value,Final,Final_pos
49003,71961,Romney,0,-1,-71961,15855538
49005,183017,Romney,0,-1,-183017,15744482
49007,37040,Romney,0,-1,-37040,15890459
49009,1511,Romney,0,-1,-1511,15925988
49011,932394,Romney,0,-1,-932394,14995105
49013,56077,Romney,0,-1,-56077,15871422
49015,28169,Romney,0,-1,-28169,15899330
49019,25798,Romney,0,-1,-25798,15901701
49021,46037,Romney,0,-1,-46037,15881462
49023,10852,Romney,0,-1,-10852,15916647
49025,8319,Romney,0,-1,-8319,15919180
49027,11734,Romney,0,-1,-11734,15915765
49029,44135,Romney,0,-1,-44135,15883364
49033,1565,Romney,0,-1,-1565,15925934
49035,3191271,Romney,0,-1,-3191271,12736228
49037,33670,Romney,0,-1,-33670,15893829
49039,19363,Romney,0,-1,-19363,15908136
49041,23058,Romney,0,-1,-23058,15904441
49043,414270,Romney,0,-1,-414270,15513229
49045,99362,Romney,0,-1,-99362,15828137
49047,129901,Romney,0,-1,-129901,15797598
49049,1404349,Romney,0,-1,-1404349,14523150
49051,237702,Romney,0,-1,-237702,15689797
49053,279395,Romney,0,-1,-279395,15648104
49055,1744,Romney,0,-1,-1744,15925755
49057,481093,Romney,0,-1,-481093,15446406
50001,179096,Obama,1,1,179096,16106595
50003,114569,Obama,1,1,114569,16042068
50005,60334,Obama,1,1,60334,15987833
50007,718427,Obama,1,1,718427,16645926
50009,6888,Obama,1,1,6888,15934387
50011,150010,Obama,1,1,150010,16077509
50013,26972,Obama,1,1,26972,15954471
50015,96479,Obama,1,1,96479,16023978
50017,158746,Obama,1,1,158746,16086245
50019,62525,Obama,1,1,62525,15990024
50021,147501,Obama,1,1,147501,16075000
50023,188721,Obama,1,1,188721,16116220
50025,127595,Obama,1,1,127595,16055094
50027,170693,Obama,1,1,170693,16098192
51001,52777,Romney,0,-1,-52777,15874722
51003,937325,Obama,1,1,937325,16864824
51005,40414,Romney,0,-1,-40414,15887085
51007,32080,Romney,0,-1,-32080,15895419
51009,62314,Romney,0,-1,-62314,15865185
51011,45590,Romney,0,-1,-45590,15881909
51013,3307288,Obama,1,1,3307288,19234787
51015,307920,Romney,0,-1,-307920,15619579
51017,10575,Romney,0,-1,-10575,15916924
51019,494400,Romney,0,-1,-494400,15433099
51021,10308,Romney,0,-1,-10308,15917191
51023,213835,Romney,0,-1,-213835,15713664
51025,51825,Obama,1,1,51825,15979324
51027,44195,Romney,0,-1,-44195,15883304
51029,75463,Obama,1,1,75463,16002962
51031,263597,Romney,0,-1,-263597,15663902
51033,179099,Obama,1,1,179099,16106598
51035,60911,Romney,0,-1,-60911,15866588
51036,348274,Obama,1,1,348274,16275773
51037,28914,Romney,0,-1,-28914,15898585
51041,1501541,Romney,0,-1,-1501541,14425958
51043,144161,Romney,0,-1,-144161,15783338
51045,40333,Romney,0,-1,-40333,15887166
